,Name,Record,Height,Weight,Reach,DOB,SLpM,Str Acc,SApM,Str Def,TD Avg,TD Acc,TD Def,Sub Avg,wins,draws,losses,age,STANCE_Orthodox,STANCE_Southpaw,STANCE_Switch,ELO
122,Matt Lindland,Record: 22-9-0,72.0,185.0,74.0,1970-05-17,2.62,0.5,1.56,0.52,3.01,0.48,0.6,1.3,22,0,9,55,False,True,False,0.01888354077952522
123,Michinori Tanaka,Record: 11-3-0,65.0,135.0,67.0,1990-10-04,1.97,0.37,1.99,0.5,2.4,0.38,0.43,0.2,11,0,3,35,True,False,False,0.7276138997933391
124,Felipe Bunes,Record: 14-8-0,67.0,125.0,69.0,1989-10-29,2.93,0.5,4.66,0.44,1.13,0.22,0.4,2.3,14,0,8,36,True,False,False,0.4561467448548197
126,Daniil Donchenko,Record: 13-2-0,71.0,170.0,71.0,2001-08-04,8.76,0.57,2.25,0.72,3.37,0.33,0.75,0.0,13,0,2,24,True,False,False,2.623413057488658
127,Muhammed Lawal,Record: 21-6-0 (1 NC),72.0,205.0,78.0,1981-01-11,3.79,0.52,1.61,0.66,5.96,0.75,0.87,0.0,21,0,6,44,False,True,False,0.5112281504678785
129,Antoni Hardonk,Record: 8-6-0,76.0,245.0,78.0,1976-02-05,3.4,0.61,3.07,0.46,0.0,0.0,0.4,0.9,8,0,6,49,True,False,False,0.014271142482064101
130,Farid Basharat,Record: 14-0-0,68.0,135.0,71.0,1997-08-02,4.05,0.52,2.47,0.6,3.6,0.47,0.72,0.4,14,0,0,28,True,False,False,1.8312743585329763
131,Kazuma Maruyama,Record: 11-7-0,71.0,155.0,72.0,1992-07-19,3.83,0.41,2.23,0.53,4.79,0.33,1.0,0.0,11,0,7,33,True,False,False,1.5519518464011446
132,Aaron Tau,Record: 11-1-0,64.0,125.0,66.0,1993-08-21,4.85,0.44,5.0,0.6,0.89,0.18,0.64,0.0,11,0,1,32,False,False,True,0.2742521716615705
133,Josh Parisian,Record: 15-8-0,76.0,265.0,79.0,1989-06-28,4.55,0.48,4.88,0.41,0.98,0.33,0.46,0.2,15,0,8,36,True,False,False,0.3529990754872566
134,Riki Fukuda,Record: 24-9-0 (1 NC),72.0,185.0,73.0,1981-01-06,4.24,0.43,3.71,0.64,2.17,0.43,0.7,0.0,24,0,9,44,False,True,False,0.24854490410498278
135,Ketlen Vieira,Record: 15-5-0,68.0,135.0,68.0,1991-08-26,2.76,0.4,3.75,0.5,1.33,0.44,0.9,0.6,15,0,5,34,True,False,False,0.3323345919999493
140,Marcos Rogerio de Lima,Record: 22-10-1,73.0,253.0,75.0,1985-06-25,3.7,0.57,2.9,0.51,1.4,0.45,0.59,0.5,22,1,10,40,True,False,False,0.46891540543704924
142,Spencer Fisher,Record: 24-9-0,67.0,155.0,68.0,1976-05-09,3.17,0.43,3.03,0.64,0.67,0.3,0.6,0.8,24,0,9,49,False,True,False,0.04778957084832248
143,Chance Rencountre,Record: 14-4-0,74.0,170.0,75.0,1986-12-31,1.1,0.2,3.62,0.49,1.35,0.26,0.16,0.3,14,0,4,38,False,True,False,0.3261479416776325
146,Darrius Flowers,Record: 12-8-1,69.0,155.0,71.0,1994-08-25,3.07,0.49,5.49,0.44,0.98,0.28,0.63,0.0,12,1,8,31,True,False,False,-0.16787499230964154
147,Mike Easton,Record: 13-6-0,66.0,135.0,70.0,1984-01-25,3.51,0.37,4.28,0.61,0.75,0.22,0.66,0.0,13,0,6,41,False,True,False,0.04526107242498521
149,Mario Pinto,Record: 11-0-0,77.0,265.0,79.0,1998-03-14,3.39,0.78,2.42,0.53,2.72,0.6,1.0,1.8,11,0,0,27,True,False,False,1.5465781325934516
150,Roberto Romero,Record: 8-5-1,68.0,145.0,70.0,2000-01-30,4.56,0.49,6.44,0.44,0.0,0.0,0.71,0.0,8,1,5,25,True,False,False,-0.5857223488169161
151,Ivan Valenzuela,Record: 8-2-0,74.0,185.0,77.0,1992-11-17,0.0,0.0,9.6,0.33,0.0,0.0,0.0,0.0,8,0,2,33,True,False,False,0.0
152,Billy Brand,Record: 5-2-0,66.0,135.0,65.0,1996-07-03,2.86,0.25,8.57,0.4,0.0,0.0,0.75,0.0,5,0,2,29,True,False,False,-1.103567562125959
154,YeDam Seo,Record: 7-4-0,63.0,115.0,63.0,1992-03-20,1.07,0.27,2.4,0.58,0.5,0.2,0.42,0.0,7,0,4,33,True,False,False,0.04642106435375764
156,Maycee Barber,Record: 14-2-0,65.0,125.0,65.0,1998-05-18,4.7,0.53,2.9,0.54,1.44,0.43,0.53,0.1,14,0,2,27,False,False,True,1.2648223104846676
159,Zhang Weili,Record: 26-4-0,64.0,115.0,63.0,1989-08-13,4.66,0.52,2.63,0.53,1.96,0.44,0.63,0.5,26,0,4,36,False,False,True,1.266640729548463
160,Manuel Exposito,Record: 13-3-0,67.0,145.0,68.0,2000-05-09,2.53,0.27,9.73,0.34,2.0,0.4,1.0,0.0,13,0,3,25,True,False,False,-1.0251152607462002
162,Demetrious Johnson,Record: 27-3-1,63.0,125.0,66.0,1986-08-13,3.43,0.54,1.66,0.67,3.35,0.56,0.65,0.5,27,1,3,39,True,False,False,1.0164341833797255
164,Mark Godbeer,Record: 13-4-0,76.0,240.0,77.0,1983-11-22,3.97,0.53,3.3,0.54,0.0,0.0,0.28,0.0,13,0,4,42,True,False,False,0.012641198768667377
165,Ricardo Lamas,Record: 20-8-0,68.0,145.0,71.0,1982-05-21,3.13,0.47,2.87,0.57,1.84,0.33,0.46,0.9,20,0,8,43,True,False,False,0.28615818399068066
169,Dione Barbosa,Record: 8-4-0,66.0,125.0,66.0,1992-05-08,2.27,0.45,2.45,0.66,2.23,0.42,0.5,1.9,8,0,4,33,True,False,False,0.8047375462705152
172,Duda Santana,Record: 3-1-0,67.0,145.0,73.0,1996-01-10,6.01,0.39,2.72,0.73,6.44,0.6,0.0,0.0,3,0,1,29,True,False,False,0.8373982720879962
174,Khalil Rountree Jr.,Record: 15-7-0 (1 NC),73.0,205.0,76.0,1990-02-26,3.88,0.4,4.33,0.49,0.0,0.0,0.58,0.1,15,0,7,35,False,True,False,-0.14953275994769064
176,Alex Chambers,Record: 5-5-0,63.0,115.0,63.0,1978-10-25,2.97,0.54,5.1,0.5,2.31,0.41,0.53,1.0,5,0,5,47,False,True,False,0.04123134818208966
177,Ross Pearson,Record: 20-16-0 (1 NC),68.0,155.0,69.0,1984-09-26,3.68,0.4,4.09,0.62,0.74,0.35,0.75,0.0,20,0,16,41,True,False,False,0.0996914625991645
182,Andre Muniz,Record: 24-8-0,73.0,185.0,78.0,1990-02-17,2.08,0.48,2.46,0.51,3.98,0.48,0.35,1.1,24,0,8,35,False,True,False,1.0659963524840723
183,Sam Sicilia,Record: 15-8-0,68.0,145.0,67.0,1986-02-01,2.46,0.33,3.55,0.59,1.45,0.43,0.7,0.9,15,0,8,39,True,False,False,0.2713958150153834
184,Xavier Franklin,Record: 5-1-0 (1 NC),66.0,135.0,66.0,1996-10-15,3.07,0.33,5.27,0.5,0.0,0.0,1.0,0.0,5,0,1,29,False,True,False,-0.7382121905949867
186,Elias Theodorou,Record: 16-3-0,73.0,185.0,75.0,1988-05-31,4.19,0.42,2.39,0.53,1.27,0.28,0.59,0.0,16,0,3,37,True,False,False,0.7388922858960149
187,Justin Ledet,Record: 9-4-0 (1 NC),76.0,205.0,80.0,1988-09-28,3.35,0.39,4.82,0.49,0.23,0.5,0.42,0.2,9,0,4,37,True,False,False,0.07684171517535437
190,Phil Harris,Record: 22-12-0 (2 NC),64.0,125.0,65.0,1983-09-04,2.34,0.26,3.16,0.68,1.76,0.21,0.6,0.0,22,0,12,42,True,False,False,0.1659350884222092
191,Jovan Leka,Record: 11-2-0,76.0,259.0,75.0,2002-03-15,1.6,0.75,0.6,0.43,1.0,1.0,0.55,1.0,11,0,2,23,True,False,False,1.0880466653974508
192,Claudio Ribeiro,Record: 11-5-0,73.0,185.0,77.0,1992-07-17,3.59,0.51,4.9,0.3,0.56,0.5,0.66,0.0,11,0,5,33,True,False,False,0.05360970168658432
193,Ian Heinisch,Record: 14-5-0,71.0,185.0,72.0,1988-08-05,3.25,0.5,2.98,0.59,1.02,0.17,0.59,0.7,14,0,5,37,True,False,False,0.44248352499855204
196,Eduardo Neves,Record: 7-2-0,74.0,263.0,78.0,2000-03-16,7.69,0.65,6.15,0.55,5.77,0.66,0.0,0.0,7,0,2,25,True,False,False,1.0264887120182067
198,Deron Winn,Record: 7-3-0,66.0,185.0,70.0,1989-06-13,4.55,0.44,6.21,0.46,4.28,0.52,0.4,0.0,7,0,3,36,True,False,False,0.48442455189594635
199,Nursulton Ruziboev,Record: 36-9-2 (2 NC),77.0,185.0,76.0,1993-11-19,2.59,0.46,2.89,0.48,0.75,0.66,0.33,0.0,36,2,9,32,True,False,False,0.6890801761670856
203,Roy Nelson,Record: 22-14-0,72.0,263.0,73.0,1976-06-20,2.18,0.36,4.79,0.46,1.14,0.27,0.65,0.1,22,0,14,49,True,False,False,-0.011217403161279898
204,Rose Conceicao,Record: 7-1-0,55.0,115.0,65.0,1997-05-13,3.07,0.28,6.73,0.6,0.0,0.0,0.0,0.0,7,0,1,28,True,False,False,0.0
205,Michael Oliveira,Record: 9-0-0,73.0,170.0,78.0,1998-01-21,8.4,0.51,3.36,0.66,0.0,0.0,1.0,0.0,9,0,0,27,True,False,False,1.3894918895364885
207,Wataru Yamauchi,Record: 7-2-0,66.0,125.0,68.0,1999-06-22,4.01,0.52,3.57,0.62,0.0,0.0,0.66,0.0,7,0,2,26,True,False,False,0.017970786452539605
208,Jordan Mein,Record: 31-12-0,72.0,170.0,73.0,1989-10-10,3.35,0.44,2.55,0.69,1.56,0.58,0.66,0.2,31,0,12,36,True,False,False,0.8576014114015077
209,Carla Esparza,Record: 20-8-0,61.0,115.0,63.0,1987-10-10,2.19,0.39,2.87,0.54,3.28,0.36,0.47,0.3,20,0,8,38,True,False,False,0.6135863119279478
211,Thanh Le,Record: 6-1-0,69.0,145.0,74.0,1985-08-28,1.97,0.4,1.82,0.7,0.0,0.0,1.0,0.0,6,0,1,40,True,False,False,-0.00419072586337671
212,Matheus Camilo,Record: 10-3-0,70.0,155.0,69.0,2001-01-02,2.19,0.43,3.25,0.64,4.43,0.53,0.0,0.6,10,0,3,24,True,False,False,1.123080334805743
213,Azamat Murzakanov,Record: 16-0-0,70.0,205.0,71.0,1989-04-12,4.7,0.57,2.86,0.6,0.55,0.15,0.87,0.0,16,0,0,36,False,True,False,0.7082037044874199
214,Wilson Gouveia,Record: 14-8-0,73.0,185.0,76.0,1978-10-03,3.02,0.39,4.06,0.56,0.9,0.66,0.57,2.2,14,0,8,47,True,False,False,0.08451126773850572
216,Marcel Fortuna,Record: 9-3-0,73.0,205.0,74.0,1985-10-22,3.83,0.46,4.52,0.64,0.45,0.08,0.75,0.5,9,0,3,40,True,False,False,0.0071405252049810035
217,Guilherme Uriel,Record: 6-2-0,73.0,265.0,74.0,1997-02-18,1.15,0.43,4.43,0.22,0.0,0.0,0.53,0.0,6,0,2,28,True,False,False,-0.5916807860742801
223,Steve Bosse,Record: 12-2-0,71.0,205.0,72.0,1981-07-29,5.99,0.52,5.38,0.5,0.92,0.33,1.0,0.0,12,0,2,44,True,False,False,0.12974176054271028
224,Isaac Dulgarian,Record: 7-2-0,67.0,145.0,71.0,1996-07-04,2.99,0.63,1.65,0.4,4.57,0.5,0.0,1.8,7,0,2,29,True,False,False,1.0723998523560285
227,Oban Elliott,Record: 12-3-0,72.0,170.0,72.0,1997-12-19,3.5,0.48,2.24,0.6,1.7,0.44,0.55,0.0,12,0,3,28,True,False,False,1.1426877505048307
228,Max Rohskopf,Record: 5-1-0,73.0,155.0,71.0,1994-09-27,1.7,0.31,5.8,0.42,3.0,0.33,0.0,1.5,5,0,1,31,True,False,False,0.8269916662754473
229,Yoshinori Horie,Record: 8-2-0,68.0,145.0,70.0,1995-05-10,2.76,0.49,5.65,0.48,0.0,0.0,0.0,0.0,8,0,2,30,True,False,False,0.0
230,Rafael Alves,Record: 20-12-0,68.0,155.0,68.0,1990-11-14,1.85,0.48,3.3,0.58,0.29,0.25,0.44,1.5,20,0,12,35,True,False,False,0.26959263446571086
231,Steve Garcia,Record: 19-5-0,72.0,145.0,75.0,1992-05-22,5.39,0.49,2.12,0.59,0.86,0.4,0.88,0.4,19,0,5,33,False,True,False,1.7522922545040212
232,Chris de la Rocha,Record: 5-3-0,75.0,250.0,80.0,1979-05-15,4.08,0.45,6.37,0.43,2.02,0.3,0.33,1.0,5,0,3,46,True,False,False,0.060143228156573365
234,Sergey Khandozhko,Record: 28-6-1,73.0,170.0,74.0,1992-05-19,3.41,0.41,2.37,0.6,0.76,0.28,0.61,0.0,28,1,6,33,True,False,False,0.7409249490846561
236,Christian Ocon,Record: 2-1-0,68.0,135.0,69.0,1996-02-05,1.73,0.53,5.27,0.34,0.0,0.0,0.63,0.0,2,0,1,29,True,False,False,-0.5545766967953863
237,Gugun Gusman,Record: 8-4-0,67.0,135.0,68.0,1990-03-03,0.88,0.27,6.18,0.41,0.0,0.0,0.33,0.0,8,0,4,35,True,False,False,-0.4917861618077005
238,Rory MacDonald,Record: 19-4-0,72.0,170.0,76.0,1989-07-22,3.75,0.42,2.8,0.62,1.77,0.47,0.88,0.4,19,0,4,36,True,False,False,0.9830483192985107
239,Adam Antolin,Record: 12-3-0,65.0,125.0,63.0,1982-02-28,5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0,12,0,3,43,True,False,False,0.024766414027762553
240,Robert Ruchala,Record: 11-2-0,68.0,145.0,72.0,1998-05-15,2.27,0.35,3.27,0.57,2.0,0.33,0.0,0.0,11,0,2,27,False,False,True,0.8869889368111362
241,Stewart Nicoll,Record: 8-2-0,65.0,125.0,65.0,1996-04-11,3.0,0.34,6.69,0.48,2.55,0.14,0.25,0.0,8,0,2,29,True,False,False,0.4273090942242147
242,Philip De Fries,Record: 12-6-0 (1 NC),77.0,250.0,79.0,1986-04-21,2.3,0.47,3.0,0.37,3.29,0.42,1.0,0.6,12,0,6,39,True,False,False,0.383700628806058
243,Lucas Rocha,Record: 18-2-0,63.0,125.0,64.0,2000-08-12,5.09,0.49,3.67,0.56,1.64,0.75,0.76,0.0,18,0,2,25,True,False,False,1.512725412138992
244,KyeungPyo Kim,Record: 11-4-0,69.0,155.0,71.0,1992-01-29,6.77,0.46,6.32,0.63,3.87,0.4,1.0,0.0,11,0,4,33,True,False,False,0.9731035778961515
245,Per Eklund,Record: 14-5-1,70.0,155.0,72.0,1980-11-12,2.07,0.61,2.38,0.67,2.07,0.11,0.5,3.6,14,1,5,45,True,False,False,0.20249380554386687
